Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp),New_car_Price
Delhi,2015,58000,Petrol,Automatic,First,5.0,26.7,Mercedes-Benz,11.74,1796.0,186.0,
Pune,2011,65000,Diesel,Manual,Second,5.0,10.0,Mercedes-Benz,15.8,2148.0,170.0,
Chennai,2016,178000,Diesel,Manual,First,5.0,2.5,Tata,25.0,1396.0,69.0,
Jaipur,2012,65664,Diesel,Automatic,First,5.0,13.5,Audi,16.55,1968.0,140.0,
Mumbai,2007,63000,Petrol,Automatic,Second,5.0,1.85,Honda,16.4,1497.0,78.0,
Coimbatore,2019,15369,Diesel,Automatic,First,5.0,35.67,Mercedes-Benz,0.0,1950.0,194.0,49.14
Pune,2016,63000,Diesel,Manual,First,7.0,8.15,Maruti,24.52,1248.0,88.5,
Mumbai,2018,13000,Diesel,Manual,First,5.0,10.5,Hyundai,22.1,1396.0,88.7,11.81
Mumbai,2008,73000,Petrol,Automatic,First,5.0,14.5,Porsche,8.5,4806.0,500.0,
Mumbai,2015,55729,Diesel,Manual,First,7.0,9.65,Mahindra,15.1,2179.0,140.0,
Kochi,2012,45178,Petrol,Automatic,First,5.0,3.48,Hyundai,16.95,1197.0,78.9,
Kochi,2015,56066,Diesel,Manual,First,5.0,6.92,Nissan,19.64,1461.0,108.5,16.65
Coimbatore,2016,37300,Petrol,Automatic,Second,5.0,6.46,Honda,16.5,1198.0,86.8,
Delhi,2014,56000,Diesel,Automatic,Second,5.0,29.5,Audi,18.53,1968.0,187.74,
Chennai,2006,230000,Petrol,Manual,Third,8.0,4.5,Toyota,12.4,1998.0,132.0,
Hyderabad,2012,104000,Diesel,Manual,First,7.0,11.75,Toyota,12.8,2494.0,102.0,
Jaipur,2012,95100,Diesel,Manual,First,5.0,3.75,Maruti,22.9,1248.0,74.0,
Pune,2017,70000,Petrol,Manual,First,5.0,4.5,Tata,17.57,1193.0,88.7,6.67
Kochi,2016,54944,Petrol,Manual,First,5.0,4.82,Honda,18.0,1198.0,86.7,
Hyderabad,2012,70337,Diesel,Manual,First,5.0,2.8,Ford,20.0,1399.0,68.0,
Jaipur,2013,99638,Diesel,Manual,First,5.0,3.11,Maruti,23.2,1248.0,73.94,
Delhi,2009,52000,Petrol,Manual,First,5.0,3.25,Honda,17.8,1497.0,117.3,
Delhi,2011,75000,Diesel,Automatic,Second,5.0,13.9,BMW,16.73,1995.0,218.0,
Pune,2009,95980,Petrol,Manual,First,5.0,2.25,Hyundai,20.36,1197.0,78.9,
Bangalore,2016,16000,Petrol,Manual,First,5.0,5.75,Hyundai,18.9,1197.0,82.0,
Mumbai,2016,18949,Petrol,Manual,First,5.0,5.0,Honda,17.8,1198.0,86.7,
Delhi,2014,107000,Diesel,Manual,First,7.0,16.5,Toyota,13.0,2982.0,168.5,
Coimbatore,2018,48367,Diesel,Automatic,First,5.0,39.58,Audi,17.68,1968.0,174.33,
Delhi,2013,57000,Diesel,Manual,First,5.0,5.5,Ford,22.7,1498.0,89.84,
Delhi,2014,58000,Diesel,Manual,First,7.0,8.1,Mahindra,15.1,2179.0,140.0,
Kolkata,2015,30000,Diesel,Manual,First,5.0,3.5,Honda,25.8,1498.0,98.6,
Kolkata,2013,34212,Diesel,Manual,First,5.0,2.79,Volkswagen,22.07,1199.0,73.9,
Ahmedabad,2010,70002,Diesel,Manual,First,5.0,3.45,Hyundai,16.2,1493.0,110.0,
Bangalore,2016,62000,Petrol,Manual,First,5.0,4.45,Maruti,18.9,998.0,67.1,
Delhi,2010,62001,Petrol,Manual,First,5.0,2.65,Volkswagen,15.26,1598.0,103.5,
Pune,2011,78958,Diesel,Manual,Second,5.0,3.8,Hyundai,23.0,1396.0,90.0,
Mumbai,2014,30180,Petrol,Manual,First,5.0,4.65,Hyundai,18.5,1197.0,82.85,
Pune,2017,32851,Petrol,Manual,First,7.0,3.95,Datsun,19.83,1198.0,67.0,6.45
Kolkata,2010,30000,Diesel,Automatic,First,5.0,9.8,Audi,14.94,2967.0,241.4,
Pune,2009,66000,Petrol,Manual,Second,5.0,2.7,Hyundai,17.0,1197.0,80.0,
Coimbatore,2010,93850,Petrol,Manual,First,5.0,2.41,Maruti,14.0,796.0,35.0,
Ahmedabad,2014,53000,Petrol,Manual,First,5.0,3.9,Toyota,17.71,1197.0,78.9,6.41
Hyderabad,2011,78000,Diesel,Automatic,Second,5.0,24.0,Jaguar,14.74,2993.0,270.9,
Delhi,2012,65000,Diesel,Manual,Second,7.0,5.75,Mahindra,16.0,2179.0,140.0,
Kolkata,2014,40000,Diesel,Automatic,First,5.0,5.25,Hyundai,22.32,1582.0,126.32,
Mumbai,2017,30000,Diesel,Automatic,First,7.0,19.25,Toyota,11.36,2755.0,171.5,27.0
Coimbatore,2017,38053,Petrol,Manual,First,5.0,3.91,Maruti,15.1,1196.0,73.0,5.13
Bangalore,2014,25500,Petrol,Manual,First,4.0,2.15,Tata,25.4,624.0,37.5,
Mumbai,2015,56087,Diesel,Automatic,First,5.0,20.75,BMW,22.69,1995.0,190.0,54.43
Delhi,2010,71088,Petrol,Manual,First,5.0,3.35,Honda,13.5,1799.0,130.0,
Ahmedabad,2014,55000,Diesel,Manual,First,7.0,11.11,Toyota,12.99,2494.0,100.6,
Bangalore,2014,32700,Diesel,Automatic,First,5.0,20.0,Volvo,23.3,1984.0,150.0,
Coimbatore,2016,39882,Petrol,Automatic,First,5.0,6.55,Nissan,19.15,1198.0,75.94,9.51
Mumbai,2009,128000,Petrol,Automatic,First,5.0,7.0,BMW,10.8,2497.0,215.0,
Mumbai,2016,55000,Diesel,Manual,First,5.0,7.5,Maruti,24.3,1248.0,88.5,9.96
Pune,2014,53753,Diesel,Automatic,Second,5.0,16.75,Mercedes-Benz,15.0,2143.0,107.3,
Kolkata,2018,10250,Diesel,Manual,First,5.0,10.95,Hyundai,22.0,1582.0,126.2,14.44
Pune,2011,43874,Petrol,Manual,First,5.0,2.45,Maruti,18.9,998.0,67.1,
Coimbatore,2017,32684,Petrol,Automatic,First,4.0,3.23,Tata,21.9,624.0,37.48,
Kolkata,2014,42000,Diesel,Manual,First,8.0,7.75,Mahindra,12.05,2179.0,120.0,
Kolkata,2009,28352,Petrol,Automatic,First,5.0,9.35,Mercedes-Benz,11.7,1796.0,178.0,
Pune,2013,89900,CNG,Manual,First,5.0,3.25,Maruti,26.6,998.0,58.16,
Bangalore,2007,47700,Petrol,Manual,Second,5.0,5.25,Honda,10.8,2354.0,152.0,
Pune,2015,55000,Diesel,Automatic,First,5.0,7.25,Volkswagen,21.21,1498.0,103.2,
Kochi,2017,44285,Petrol,Manual,First,5.0,7.47,Maruti,20.73,1373.0,91.1,
Jaipur,2016,54000,Diesel,Automatic,First,7.0,13.25,Mahindra,16.0,2179.0,140.0,
Coimbatore,2016,30232,Petrol,Manual,First,5.0,5.81,Maruti,21.1,1197.0,85.8,
Hyderabad,2014,88500,Petrol,Manual,First,5.0,2.6,Maruti,24.07,998.0,67.1,4.53
Kolkata,2017,13372,Petrol,Automatic,First,2.0,54.0,Mercedes-Benz,19.0,2996.0,362.07,95.04
Kochi,2019,12645,Petrol,Automatic,First,5.0,11.5,Hyundai,17.0,1591.0,121.3,13.49
Chennai,2010,94385,Petrol,Manual,Second,5.0,1.6,Maruti,19.7,796.0,46.3,
Coimbatore,2015,31821,Diesel,Automatic,First,5.0,17.22,BMW,20.58,1995.0,143.0,
Mumbai,2015,12000,Petrol,Automatic,First,5.0,6.0,Honda,19.0,1199.0,88.7,
Delhi,2012,88578,Petrol,Manual,First,5.0,3.95,Honda,13.5,1799.0,130.0,
Kochi,2014,44965,Diesel,Automatic,First,5.0,17.95,Mercedes-Benz,19.27,2143.0,170.0,
Kolkata,2014,45044,Diesel,Manual,First,5.0,3.7,Honda,25.8,1498.0,98.6,
Kochi,2016,34204,Petrol,Manual,First,5.0,5.43,Maruti,22.0,1197.0,81.8,
Coimbatore,2012,91235,Diesel,Manual,First,7.0,13.49,Toyota,11.5,2982.0,171.0,
Pune,2014,38800,Petrol,Manual,First,5.0,2.85,Chevrolet,18.6,1199.0,76.8,
Chennai,2013,83000,Diesel,Manual,First,5.0,4.75,Skoda,21.14,1498.0,103.52,
Kochi,2018,41283,Petrol,Manual,First,5.0,9.9,Maruti,20.73,1373.0,91.1,
Mumbai,2013,23000,Petrol,Automatic,First,4.0,37.0,Audi,11.05,2894.0,444.0,1.28
Mumbai,2014,48000,Diesel,Automatic,First,5.0,26.5,BMW,21.76,1995.0,190.0,60.88
Coimbatore,2015,48214,Diesel,Automatic,First,5.0,23.32,Audi,17.11,1968.0,174.33,
Chennai,2016,35000,Diesel,Manual,First,5.0,6.25,Maruti,22.9,1248.0,74.0,
Kolkata,2010,35277,Petrol,Automatic,First,5.0,30.0,Mercedes-Benz,7.81,5461.0,362.9,
Coimbatore,2016,54620,Diesel,Automatic,First,5.0,9.86,Skoda,21.66,1498.0,103.52,
Pune,2012,136997,Diesel,Automatic,First,5.0,8.5,Skoda,17.2,1968.0,138.1,
Kochi,2019,14322,Petrol,Manual,First,5.0,4.23,Hyundai,21.1,814.0,55.2,
Jaipur,2012,65634,Diesel,Manual,First,5.0,3.5,Volkswagen,22.07,1199.0,73.9,
Kolkata,2016,6000,Petrol,Manual,First,5.0,2.5,Datsun,20.63,1198.0,67.06,
Kolkata,2013,33280,Petrol,Manual,First,5.0,2.39,Honda,19.4,1198.0,86.8,
Delhi,2013,29000,Petrol,Automatic,First,5.0,11.25,Mercedes-Benz,14.8,1595.0,120.7,
Kochi,2015,42831,Diesel,Manual,First,5.0,7.11,Honda,26.0,1498.0,98.6,
Ahmedabad,2016,90000,Diesel,Manual,First,7.0,10.9,Toyota,12.99,2494.0,100.6,
Ahmedabad,2017,24005,Petrol,Manual,First,5.0,6.2,Maruti,20.4,1197.0,81.8,
Mumbai,2012,32792,Diesel,Manual,First,7.0,7.9,Mahindra,15.1,2179.0,140.0,
Kochi,2014,147898,Diesel,Manual,First,5.0,4.42,Ford,22.7,1498.0,89.84,
Mumbai,2012,131765,Diesel,Manual,First,7.0,13.5,Toyota,13.0,2982.0,168.5,
Chennai,2013,65000,Diesel,Automatic,First,5.0,6.25,Volkswagen,21.5,1498.0,108.5,
Jaipur,2010,66123,Diesel,Manual,Second,5.0,2.1,Ford,20.0,1399.0,68.0,
Mumbai,2015,41000,Diesel,Automatic,First,5.0,45.0,BMW,15.3,2993.0,258.0,
Coimbatore,2017,23550,Diesel,Automatic,First,5.0,33.66,Mercedes-Benz,19.27,2143.0,167.62,
Bangalore,2012,45000,Petrol,Manual,Second,5.0,3.65,Honda,19.4,1198.0,86.8,
Delhi,2013,60000,Petrol,Manual,First,5.0,2.75,Hyundai,20.36,1197.0,78.9,
Bangalore,2016,44414,Diesel,Automatic,First,5.0,42.5,Mercedes-Benz,17.9,2143.0,170.0,
Kolkata,2019,1000,Petrol,Manual,First,5.0,6.5,Hyundai,18.9,1197.0,81.86,7.39
Mumbai,2012,62500,Diesel,Automatic,Second,5.0,19.0,Audi,17.68,1968.0,174.33,
Mumbai,2013,21000,Petrol,Automatic,Second,5.0,4.45,Volkswagen,14.4,1598.0,103.6,
Jaipur,2017,8525,Diesel,Automatic,Second,5.0,23.0,Mini,16.6,1998.0,112.0,
Bangalore,2014,29000,Diesel,Manual,First,5.0,8.35,Hyundai,22.54,1396.0,88.73,
Mumbai,2014,40000,Diesel,Automatic,First,5.0,22.95,Audi,17.68,1968.0,174.33,
Jaipur,2012,88000,Diesel,Manual,First,5.0,1.5,Chevrolet,25.44,936.0,57.6,
Kochi,2012,53537,Petrol,Automatic,First,5.0,6.89,Skoda,13.7,1798.0,157.75,
Chennai,2006,216000,Diesel,Manual,Second,5.0,1.45,Ford,17.8,1399.0,68.0,
Hyderabad,2014,51000,Diesel,Automatic,First,5.0,33.5,BMW,22.48,1995.0,190.0,69.47
Jaipur,2007,118500,Petrol,Manual,First,5.0,1.25,Chevrolet,12.9,1598.0,102.5,
Hyderabad,2012,63000,Diesel,Manual,First,5.0,4.2,Volkswagen,22.07,1199.0,73.9,
Mumbai,2015,25000,Diesel,Manual,First,8.0,6.75,Renault,19.98,1461.0,108.5,
Bangalore,2014,37382,Diesel,Automatic,First,5.0,32.0,Mercedes-Benz,13.0,2143.0,201.1,
Kochi,2017,24773,Petrol,Manual,First,5.0,7.5,Maruti,21.4,1197.0,83.1,8.78
Delhi,2012,62000,Diesel,Manual,First,5.0,4.6,Hyundai,22.32,1582.0,126.32,
Kochi,2017,52340,Petrol,Manual,First,5.0,4.04,Hyundai,19.81,1086.0,68.05,
Kochi,2016,56739,Diesel,Manual,First,7.0,10.31,Mahindra,15.4,1997.0,120.0,
Coimbatore,2018,36091,Diesel,Automatic,First,5.0,55.76,Land,12.7,2179.0,187.7,
Chennai,2010,120000,Diesel,Manual,First,5.0,2.6,Ford,20.0,1399.0,68.0,
Mumbai,2016,33000,Diesel,Manual,First,7.0,8.5,Maruti,25.47,1248.0,88.5,12.74
Kolkata,2014,52000,Diesel,Manual,First,5.0,3.5,Honda,25.8,1498.0,98.6,
Jaipur,2015,43571,Petrol,Manual,First,5.0,3.55,Hyundai,20.36,1197.0,78.9,
Kolkata,2013,50000,Diesel,Manual,First,5.0,3.25,Honda,25.8,1498.0,98.6,
Hyderabad,2008,113000,Diesel,Manual,First,5.0,4.5,Skoda,17.5,1896.0,106.0,
Delhi,2014,90000,Diesel,Manual,First,5.0,5.35,Renault,19.87,1461.0,83.8,
Chennai,2017,29000,Diesel,Manual,Second,7.0,6.5,Mahindra,17.45,1493.0,100.0,10.52
Mumbai,2016,20000,Diesel,Manual,First,5.0,9.0,Maruti,24.3,1248.0,88.5,11.98
Kochi,2016,61012,Petrol,Manual,First,5.0,6.0,Hyundai,18.6,1197.0,81.83,
Jaipur,2009,87459,Petrol,Manual,First,5.0,2.75,Skoda,14.7,1390.0,85.0,
Pune,2010,70500,Petrol,Manual,First,5.0,1.5,Tata,15.64,1193.0,64.1,
Delhi,2015,64103,Diesel,Automatic,First,5.0,19.9,Audi,15.73,1968.0,174.33,
Mumbai,2014,76000,Petrol,Automatic,First,5.0,10.0,Skoda,14.7,1798.0,177.5,
Delhi,2014,104000,Diesel,Manual,First,5.0,3.0,Toyota,23.59,1364.0,67.06,
Kochi,2014,37245,Petrol,Automatic,First,5.0,11.96,Mercedes-Benz,14.8,1595.0,120.7,
Kolkata,2013,45000,Diesel,Manual,First,5.0,3.25,Honda,27.4,1498.0,98.6,8.54
Jaipur,2012,117837,Diesel,Manual,Second,5.0,4.75,Hyundai,22.32,1582.0,126.32,
Mumbai,2014,30000,Diesel,Manual,First,5.0,5.95,Renault,20.46,1461.0,83.8,
Delhi,2015,27057,Petrol,Manual,Second,5.0,8.15,Hyundai,15.29,1591.0,121.3,
Mumbai,2016,8500,Petrol,Automatic,First,5.0,4.22,Maruti,20.51,998.0,67.0,
Kolkata,2010,30500,Petrol,Automatic,First,5.0,10.5,Mercedes-Benz,11.74,1796.0,186.0,
Delhi,2012,56000,Diesel,Automatic,First,5.0,45.0,Audi,11.8,2967.0,246.7,
Pune,2012,44000,Petrol,Manual,Second,5.0,2.9,Hyundai,19.81,1086.0,68.05,
Mumbai,2017,10500,Petrol,Automatic,First,5.0,8.9,Skoda,14.3,1598.0,103.52,
Hyderabad,2017,26000,Petrol,Automatic,First,5.0,26.0,Skoda,14.67,1798.0,177.46,33.58
Coimbatore,2018,25166,Petrol,Manual,First,5.0,8.22,Hyundai,17.19,1197.0,81.86,
Kolkata,2014,64000,Diesel,Manual,Second,5.0,3.5,Honda,25.8,1498.0,98.6,
Chennai,2004,61000,Petrol,Manual,Second,5.0,1.25,Maruti,18.9,998.0,67.1,
Hyderabad,2013,107000,Diesel,Manual,First,5.0,3.7,Mahindra,21.03,1461.0,65.0,9.12
Coimbatore,2018,29161,Diesel,Automatic,First,5.0,39.41,Mercedes-Benz,19.27,2143.0,167.62,
Kolkata,2013,32000,Petrol,Manual,First,5.0,2.65,Maruti,22.5,998.0,67.04,5.29
Coimbatore,2015,46173,Diesel,Manual,Second,5.0,8.92,Nissan,19.01,1461.0,108.5,
Kochi,2017,26327,Petrol,Automatic,First,4.0,35.67,Mini,16.82,1998.0,189.08,44.28
Jaipur,2007,200000,Diesel,Manual,Second,5.0,0.85,Tata,17.2,1396.0,53.5,
Kochi,2016,60813,Petrol,Manual,Second,5.0,3.32,Chevrolet,18.6,1199.0,76.8,
Mumbai,2012,45000,Diesel,Manual,First,5.0,3.6,Volkswagen,22.07,1199.0,73.9,
Hyderabad,2016,64000,Diesel,Manual,First,5.0,6.8,Maruti,22.9,1248.0,74.0,
Kolkata,2012,41284,Diesel,Manual,First,5.0,2.5,Ford,20.0,1399.0,68.05,
Kochi,2019,14165,Diesel,Automatic,First,7.0,19.64,Toyota,11.36,2755.0,171.5,20.74
Mumbai,2011,67000,Diesel,Automatic,Second,7.0,7.0,Hyundai,11.72,2199.0,194.3,
Kolkata,2011,32572,Petrol,Manual,First,5.0,3.87,Honda,17.4,1497.0,117.3,11.74
Kochi,2018,14960,Petrol,Manual,First,5.0,6.27,Hyundai,18.6,1197.0,81.83,
Kochi,2015,55980,Diesel,Automatic,First,5.0,18.12,Mercedes-Benz,19.27,2143.0,167.62,
Mumbai,2013,74000,Diesel,Manual,First,5.0,2.65,Chevrolet,25.44,936.0,57.6,
Kochi,2015,56847,Diesel,Manual,First,5.0,7.2,Hyundai,22.54,1396.0,88.73,
Coimbatore,2015,121374,Diesel,Manual,First,7.0,14.3,Toyota,12.99,2494.0,100.6,
Chennai,2013,52000,Diesel,Manual,First,7.0,6.9,Maruti,20.77,1248.0,88.76,
Mumbai,2014,118000,Diesel,Manual,First,7.0,10.75,Toyota,12.8,2494.0,102.0,
Kochi,2016,33915,Petrol,Manual,First,5.0,8.09,Honda,17.8,1497.0,117.3,
Ahmedabad,2014,82002,Diesel,Automatic,First,5.0,18.5,BMW,17.05,1995.0,184.0,
Mumbai,2017,33000,Diesel,Manual,First,5.0,4.75,Hyundai,24.0,1120.0,70.0,
Chennai,2016,34000,Diesel,Manual,First,5.0,8.45,Maruti,28.09,1248.0,88.5,
Kolkata,2012,55000,Diesel,Manual,First,5.0,3.5,Skoda,20.5,1598.0,103.6,
Kochi,2006,160538,Diesel,Manual,First,5.0,1.8,Hyundai,13.1,1493.0,82.0,
Jaipur,2014,60000,Diesel,Manual,Second,5.0,3.7,Volkswagen,19.91,1498.0,103.6,
Coimbatore,2017,49575,Petrol,Manual,First,5.0,7.17,Honda,18.7,1199.0,88.7,
Jaipur,2010,83000,Petrol,Manual,First,5.0,1.75,Hyundai,19.81,1086.0,68.05,
Kochi,2018,51346,Diesel,Automatic,First,5.0,21.99,Hyundai,16.38,1995.0,183.0,
Pune,2017,43000,Diesel,Manual,First,7.0,18.65,Toyota,13.68,2393.0,147.8,25.52
Jaipur,2011,35000,Petrol,Manual,Third,5.0,1.85,Maruti,19.7,796.0,35.0,
Coimbatore,2017,27872,Petrol,Manual,Second,5.0,5.95,Maruti,20.4,1197.0,81.8,
Mumbai,2014,16514,Petrol,Manual,First,5.0,3.75,Hyundai,18.9,1197.0,82.0,
Pune,2012,120000,Diesel,Manual,First,5.0,3.75,Maruti,22.9,1248.0,74.0,
Hyderabad,2008,143275,Diesel,Manual,First,5.0,2.6,Hyundai,22.0,1582.0,126.2,14.07
Mumbai,2010,52000,Petrol,Manual,First,5.0,2.8,Hyundai,17.0,1197.0,80.0,
Coimbatore,2017,29819,Diesel,Automatic,First,5.0,61.29,Mercedes-Benz,11.57,2987.0,254.79,95.13
Bangalore,2014,57000,Diesel,Manual,Second,5.0,18.0,Mercedes-Benz,15.8,2148.0,170.0,
Hyderabad,2014,88500,Diesel,Manual,First,5.0,4.35,Maruti,23.2,1248.0,73.94,
Bangalore,2016,28000,Diesel,Manual,First,5.0,13.75,Hyundai,19.67,1582.0,126.2,
Pune,2010,67000,Petrol,Manual,First,5.0,2.0,Maruti,19.0,998.0,66.1,
Delhi,2016,26000,Diesel,Manual,First,5.0,10.0,Renault,19.64,1461.0,108.45,
Delhi,2010,120000,Diesel,Manual,First,5.0,1.65,Fiat,17.8,1248.0,76.0,
Coimbatore,2017,51982,Diesel,Automatic,First,5.0,45.77,BMW,16.55,2993.0,258.0,
Bangalore,2010,36000,Petrol,Manual,Second,5.0,3.25,Hyundai,20.36,1197.0,78.9,
Pune,2016,47000,Diesel,Manual,First,7.0,12.8,Toyota,12.8,2494.0,102.0,
Mumbai,2002,60000,Petrol,Manual,Third,5.0,0.55,Maruti,17.3,993.0,60.0,
Hyderabad,2018,31025,Diesel,Manual,First,5.0,7.15,Maruti,28.4,1248.0,74.0,
Pune,2013,105000,Diesel,Manual,Second,8.0,7.0,Mahindra,12.05,2179.0,120.0,
Pune,2017,121900,Diesel,Manual,First,5.0,3.75,Tata,22.95,1248.0,74.0,8.34
Mumbai,2017,22695,Petrol,Manual,First,5.0,8.5,Ford,18.88,999.0,123.24,
Jaipur,2012,73000,Diesel,Manual,First,5.0,4.35,Maruti,23.4,1248.0,74.0,
Kochi,2016,32227,Petrol,Manual,First,5.0,3.26,Maruti,22.74,796.0,47.3,
Jaipur,2011,55000,Petrol,Manual,First,5.0,4.21,Honda,17.0,1497.0,118.0,
