Year,Kilometers_Driven,Owner_Type,Seats,Price,Mileage(km/kg),Engine(CC),Power(bhp),Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
2010,32000,1,5.0,2.07,20.36,1197.0,78.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2010,121812,1,5.0,7.75,13.29,1995.0,147.6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2010,39300,1,5.0,2.25,18.2,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2017,22000,1,8.0,16.5,13.68,2393.0,147.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2010,72000,1,5.0,2.75,20.0,1399.0,68.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2015,58000,1,5.0,26.7,11.74,1796.0,186.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2011,65000,2,5.0,10.0,15.8,2148.0,170.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2016,178000,1,5.0,2.5,25.0,1396.0,69.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2012,65664,1,5.0,13.5,16.55,1968.0,140.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2007,63000,2,5.0,1.85,16.4,1497.0,78.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2019,15369,1,5.0,35.67,0.0,1950.0,194.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2016,63000,1,7.0,8.15,24.52,1248.0,88.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2018,13000,1,5.0,10.5,22.1,1396.0,88.7,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2008,73000,1,5.0,14.5,8.5,4806.0,500.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2015,55729,1,7.0,9.65,15.1,2179.0,140.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2012,45178,1,5.0,3.48,16.95,1197.0,78.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015,56066,1,5.0,6.92,19.64,1461.0,108.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2016,37300,2,5.0,6.46,16.5,1198.0,86.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2014,56000,2,5.0,29.5,18.53,1968.0,187.74,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2006,230000,3,8.0,4.5,12.4,1998.0,132.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2012,104000,1,7.0,11.75,12.8,2494.0,102.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2012,95100,1,5.0,3.75,22.9,1248.0,74.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2017,70000,1,5.0,4.5,17.57,1193.0,88.7,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2016,54944,1,5.0,4.82,18.0,1198.0,86.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,70337,1,5.0,2.8,20.0,1399.0,68.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2013,99638,1,5.0,3.11,23.2,1248.0,73.94,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2009,52000,1,5.0,3.25,17.8,1497.0,117.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2011,75000,2,5.0,13.9,16.73,1995.0,218.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,95980,1,5.0,2.25,20.36,1197.0,78.9,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2016,16000,1,5.0,5.75,18.9,1197.0,82.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2016,18949,1,5.0,5.0,17.8,1198.0,86.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2014,107000,1,7.0,16.5,13.0,2982.0,168.5,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2018,48367,1,5.0,39.58,17.68,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2013,57000,1,5.0,5.5,22.7,1498.0,89.84,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2014,58000,1,7.0,8.1,15.1,2179.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2015,30000,1,5.0,3.5,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2013,34212,1,5.0,2.79,22.07,1199.0,73.9,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010,70002,1,5.0,3.45,16.2,1493.0,110.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016,62000,1,5.0,4.45,18.9,998.0,67.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2010,62001,1,5.0,2.65,15.26,1598.0,103.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2011,78958,2,5.0,3.8,23.0,1396.0,90.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2014,30180,1,5.0,4.65,18.5,1197.0,82.85,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2017,32851,1,7.0,3.95,19.83,1198.0,67.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2010,30000,1,5.0,9.8,14.94,2967.0,241.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2009,66000,2,5.0,2.7,17.0,1197.0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2010,93850,1,5.0,2.41,14.0,796.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2014,53000,1,5.0,3.9,17.71,1197.0,78.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2011,78000,2,5.0,24.0,14.74,2993.0,270.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2012,65000,2,7.0,5.75,16.0,2179.0,140.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2014,40000,1,5.0,5.25,22.32,1582.0,126.32,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2017,30000,1,7.0,19.25,11.36,2755.0,171.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2017,38053,1,5.0,3.91,15.1,1196.0,73.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2014,25500,1,4.0,2.15,25.4,624.0,37.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,56087,1,5.0,20.75,22.69,1995.0,190.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2010,71088,1,5.0,3.35,13.5,1799.0,130.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2014,55000,1,7.0,11.11,12.99,2494.0,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2014,32700,1,5.0,20.0,23.3,1984.0,150.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,39882,1,5.0,6.55,19.15,1198.0,75.94,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2009,128000,1,5.0,7.0,10.8,2497.0,215.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2016,55000,1,5.0,7.5,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2014,53753,2,5.0,16.75,15.0,2143.0,107.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2018,10250,1,5.0,10.95,22.0,1582.0,126.2,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2011,43874,1,5.0,2.45,18.9,998.0,67.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2017,32684,1,4.0,3.23,21.9,624.0,37.48,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2014,42000,1,8.0,7.75,12.05,2179.0,120.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2009,28352,1,5.0,9.35,11.7,1796.0,178.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2013,89900,1,5.0,3.25,26.6,998.0,58.16,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2007,47700,2,5.0,5.25,10.8,2354.0,152.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,55000,1,5.0,7.25,21.21,1498.0,103.2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2017,44285,1,5.0,7.47,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2016,54000,1,7.0,13.25,16.0,2179.0,140.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2016,30232,1,5.0,5.81,21.1,1197.0,85.8,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2014,88500,1,5.0,2.6,24.07,998.0,67.1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2017,13372,1,2.0,54.0,19.0,2996.0,362.07,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2019,12645,1,5.0,11.5,17.0,1591.0,121.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2010,94385,2,5.0,1.6,19.7,796.0,46.3,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2015,31821,1,5.0,17.22,20.58,1995.0,143.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,12000,1,5.0,6.0,19.0,1199.0,88.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2012,88578,1,5.0,3.95,13.5,1799.0,130.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2014,44965,1,5.0,17.95,19.27,2143.0,170.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,45044,1,5.0,3.7,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2016,34204,1,5.0,5.43,22.0,1197.0,81.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,91235,1,7.0,13.49,11.5,2982.0,171.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2014,38800,1,5.0,2.85,18.6,1199.0,76.8,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2013,83000,1,5.0,4.75,21.14,1498.0,103.52,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2018,41283,1,5.0,9.9,20.73,1373.0,91.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2013,23000,1,4.0,37.0,11.05,2894.0,444.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2014,48000,1,5.0,26.5,21.76,1995.0,190.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015,48214,1,5.0,23.32,17.11,1968.0,174.33,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2016,35000,1,5.0,6.25,22.9,1248.0,74.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2010,35277,1,5.0,30.0,7.81,5461.0,362.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2016,54620,1,5.0,9.86,21.66,1498.0,103.52,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,136997,1,5.0,8.5,17.2,1968.0,138.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2019,14322,1,5.0,4.23,21.1,814.0,55.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,65634,1,5.0,3.5,22.07,1199.0,73.9,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2016,6000,1,5.0,2.5,20.63,1198.0,67.06,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2013,33280,1,5.0,2.39,19.4,1198.0,86.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2013,29000,1,5.0,11.25,14.8,1595.0,120.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2015,42831,1,5.0,7.11,26.0,1498.0,98.6,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2016,90000,1,7.0,10.9,12.99,2494.0,100.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2017,24005,1,5.0,6.2,20.4,1197.0,81.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2012,32792,1,7.0,7.9,15.1,2179.0,140.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2014,147898,1,5.0,4.42,22.7,1498.0,89.84,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2012,131765,1,7.0,13.5,13.0,2982.0,168.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2013,65000,1,5.0,6.25,21.5,1498.0,108.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2010,66123,2,5.0,2.1,20.0,1399.0,68.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2015,41000,1,5.0,45.0,15.3,2993.0,258.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2017,23550,1,5.0,33.66,19.27,2143.0,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,45000,2,5.0,3.65,19.4,1198.0,86.8,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2013,60000,1,5.0,2.75,20.36,1197.0,78.9,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2016,44414,1,5.0,42.5,17.9,2143.0,170.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,1000,1,5.0,6.5,18.9,1197.0,81.86,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2012,62500,2,5.0,19.0,17.68,1968.0,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2013,21000,2,5.0,4.45,14.4,1598.0,103.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,8525,2,5.0,23.0,16.6,1998.0,112.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2014,29000,1,5.0,8.35,22.54,1396.0,88.73,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2014,40000,1,5.0,22.95,17.68,1968.0,174.33,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2012,88000,1,5.0,1.5,25.44,936.0,57.6,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2012,53537,1,5.0,6.89,13.7,1798.0,157.75,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2006,216000,2,5.0,1.45,17.8,1399.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2014,51000,1,5.0,33.5,22.48,1995.0,190.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2007,118500,1,5.0,1.25,12.9,1598.0,102.5,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2012,63000,1,5.0,4.2,22.07,1199.0,73.9,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2015,25000,1,8.0,6.75,19.98,1461.0,108.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2014,37382,1,5.0,32.0,13.0,2143.0,201.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,24773,1,5.0,7.5,21.4,1197.0,83.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,62000,1,5.0,4.6,22.32,1582.0,126.32,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2017,52340,1,5.0,4.04,19.81,1086.0,68.05,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2016,56739,1,7.0,10.31,15.4,1997.0,120.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2018,36091,1,5.0,55.76,12.7,2179.0,187.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2010,120000,1,5.0,2.6,20.0,1399.0,68.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2016,33000,1,7.0,8.5,25.47,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2014,52000,1,5.0,3.5,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2015,43571,1,5.0,3.55,20.36,1197.0,78.9,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2013,50000,1,5.0,3.25,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2008,113000,1,5.0,4.5,17.5,1896.0,106.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2014,90000,1,5.0,5.35,19.87,1461.0,83.8,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2017,29000,2,7.0,6.5,17.45,1493.0,100.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2016,20000,1,5.0,9.0,24.3,1248.0,88.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2016,61012,1,5.0,6.0,18.6,1197.0,81.83,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2009,87459,1,5.0,2.75,14.7,1390.0,85.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2010,70500,1,5.0,1.5,15.64,1193.0,64.1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2015,64103,1,5.0,19.9,15.73,1968.0,174.33,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2014,76000,1,5.0,10.0,14.7,1798.0,177.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2014,104000,1,5.0,3.0,23.59,1364.0,67.06,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2014,37245,1,5.0,11.96,14.8,1595.0,120.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2013,45000,1,5.0,3.25,27.4,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2012,117837,2,5.0,4.75,22.32,1582.0,126.32,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2014,30000,1,5.0,5.95,20.46,1461.0,83.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2015,27057,2,5.0,8.15,15.29,1591.0,121.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2016,8500,1,5.0,4.22,20.51,998.0,67.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2010,30500,1,5.0,10.5,11.74,1796.0,186.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2012,56000,1,5.0,45.0,11.8,2967.0,246.7,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2012,44000,2,5.0,2.9,19.81,1086.0,68.05,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2017,10500,1,5.0,8.9,14.3,1598.0,103.52,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2017,26000,1,5.0,26.0,14.67,1798.0,177.46,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2018,25166,1,5.0,8.22,17.19,1197.0,81.86,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2014,64000,2,5.0,3.5,25.8,1498.0,98.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2004,61000,2,5.0,1.25,18.9,998.0,67.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2013,107000,1,5.0,3.7,21.03,1461.0,65.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2018,29161,1,5.0,39.41,19.27,2143.0,167.62,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2013,32000,1,5.0,2.65,22.5,998.0,67.04,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2015,46173,2,5.0,8.92,19.01,1461.0,108.5,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2017,26327,1,4.0,35.67,16.82,1998.0,189.08,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2007,200000,2,5.0,0.85,17.2,1396.0,53.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2016,60813,2,5.0,3.32,18.6,1199.0,76.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2012,45000,1,5.0,3.6,22.07,1199.0,73.9,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2016,64000,1,5.0,6.8,22.9,1248.0,74.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2012,41284,1,5.0,2.5,20.0,1399.0,68.05,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2019,14165,1,7.0,19.64,11.36,2755.0,171.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2011,67000,2,7.0,7.0,11.72,2199.0,194.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2011,32572,1,5.0,3.87,17.4,1497.0,117.3,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2018,14960,1,5.0,6.27,18.6,1197.0,81.83,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2015,55980,1,5.0,18.12,19.27,2143.0,167.62,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,74000,1,5.0,2.65,25.44,936.0,57.6,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2015,56847,1,5.0,7.2,22.54,1396.0,88.73,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2015,121374,1,7.0,14.3,12.99,2494.0,100.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2013,52000,1,7.0,6.9,20.77,1248.0,88.76,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2014,118000,1,7.0,10.75,12.8,2494.0,102.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2016,33915,1,5.0,8.09,17.8,1497.0,117.3,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2014,82002,1,5.0,18.5,17.05,1995.0,184.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,33000,1,5.0,4.75,24.0,1120.0,70.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
